                                       Count	% All	% Overflowing
===> Overflow Analysis <===
Valid packages processed:              1172
... containing any overflows:          413 	35%
== Undefined ==
... containing undefined overflows:    197 	16%	47%
... containing signed overflows:       73 	6%	17%
... containing shift overflows:        174 	14%	42%
... containing signed negation errs:   17 	1%	4%
... containing division errs:          1 	0%	0%
== Not Undefined ==
... containing unsigned overflows:     355 	30%	85%
... containing unsigned negation errs: 64 	5%	15%

===> General Package Stats <===
Processed:                      10000
Success:                        8440
Fail:                           1560
C/C++:                          4852
Overflowing:                    499
Loaded IOC-instr code:          3371
== Ignoring Configure Tests ==
Overflowing:                    417
Loaded IOC-instr code:          1172

===> Run Stats <===
ETA for run completion:         0 days 0 hours 0 mins
Packages remaining:             0

====================================================================================
Package Name                   | Any | Signd | Shift | SNeg  | Div   | Usign | UNeg 
enigmail ..................... | ... | ..... | ..... | ..... | ..... | ..... | .....
enscript ..................... | Yes | ..... | Shift | ..... | ..... | Usign | .....
eog .......................... | ... | ..... | ..... | ..... | ..... | ..... | .....
eperl ........................ | ... | ..... | ..... | ..... | ..... | ..... | .....
epic4 ........................ | ... | ..... | ..... | ..... | ..... | ..... | .....
epiphany-browser ............. | ... | ..... | ..... | ..... | ..... | ..... | .....
erlang ....................... | Yes | Signd | Shift | SNeg  | ..... | Usign | UNeg 
erm .......................... | ... | ..... | ..... | ..... | ..... | ..... | .....
espeak ....................... | ... | ..... | ..... | ..... | ..... | ..... | .....
ethtool ...................... | Yes | ..... | Shift | ..... | ..... | ..... | .....
exif ......................... | ... | ..... | ..... | ..... | ..... | ..... | .....
exim4 ........................ | ... | ..... | ..... | ..... | ..... | ..... | .....
exo .......................... | Yes | ..... | ..... | ..... | ..... | Usign | .....
exonerate .................... | Yes | ..... | ..... | ..... | ..... | Usign | .....
expect ....................... | ... | ..... | ..... | ..... | ..... | ..... | .....
fakechroot ................... | ... | ..... | ..... | ..... | ..... | ..... | .....
fakeroot ..................... | ... | ..... | ..... | ..... | ..... | ..... | .....
faketime ..................... | ... | ..... | ..... | ..... | ..... | ..... | .....
fassets ...................... | ... | ..... | ..... | ..... | ..... | ..... | .....
fastforward .................. | ... | ..... | ..... | ..... | ..... | ..... | .....
fbasics ...................... | ... | ..... | ..... | ..... | ..... | ..... | .....
fcopulae ..................... | ... | ..... | ..... | ..... | ..... | ..... | .....
fdclone ...................... | ... | ..... | ..... | ..... | ..... | ..... | .....
fdsend ....................... | ... | ..... | ..... | ..... | ..... | ..... | .....
fdutils ...................... | ... | ..... | ..... | ..... | ..... | ..... | .....
feh .......................... | ... | ..... | ..... | ..... | ..... | ..... | .....
festival ..................... | ... | ..... | ..... | ..... | ..... | ..... | .....
ffcall ....................... | Yes | Signd | ..... | ..... | ..... | Usign | .....
ffmpeg-php ................... | ... | ..... | ..... | ..... | ..... | ..... | .....
fftw ......................... | ... | ..... | ..... | ..... | ..... | ..... | .....
figlet ....................... | Yes | ..... | ..... | ..... | ..... | Usign | .....
file ......................... | Yes | ..... | ..... | ..... | ..... | Usign | .....
fileschanged ................. | ... | ..... | ..... | ..... | ..... | ..... | .....
findutils .................... | Yes | ..... | Shift | ..... | ..... | Usign | .....
firebird2.5 .................. | Yes | ..... | Shift | ..... | ..... | Usign | .....
flake ........................ | ... | ..... | ..... | ..... | ..... | ..... | .....
flex-old ..................... | Yes | ..... | ..... | ..... | Div   | ..... | .....
fnonlinear ................... | ... | ..... | ..... | ..... | ..... | ..... | .....
fontconfig ................... | Yes | ..... | Shift | ..... | ..... | Usign | .....
foreign ...................... | ... | ..... | ..... | ..... | ..... | ..... | .....
fortune-mod .................. | Yes | ..... | ..... | ..... | ..... | ..... | UNeg 
fossil ....................... | Yes | ..... | Shift | ..... | ..... | Usign | .....
freebirth .................... | ... | ..... | ..... | ..... | ..... | ..... | .....
freebsd-buildutils ........... | Yes | ..... | Shift | ..... | ..... | Usign | .....
freeciv ...................... | ... | ..... | ..... | ..... | ..... | ..... | .....
freewnn ...................... | Yes | ..... | Shift | ..... | ..... | ..... | .....
freexl ....................... | ... | ..... | ..... | ..... | ..... | ..... | .....
ftnchek ...................... | Yes | Signd | ..... | ..... | ..... | ..... | .....
ftpcopy ...................... | ... | ..... | ..... | ..... | ..... | ..... | .....
g2 ........................... | ... | ..... | ..... | ..... | ..... | ..... | .....
gammu ........................ | Yes | ..... | Shift | ..... | ..... | Usign | .....
gap .......................... | Yes | Signd | Shift | ..... | ..... | Usign | UNeg 
gauche ....................... | Yes | Signd | Shift | SNeg  | ..... | Usign | .....
gawk ......................... | Yes | ..... | Shift | ..... | ..... | Usign | UNeg 
gbrowse ...................... | ... | ..... | ..... | ..... | ..... | ..... | .....
gcc-4.6 ...................... | Yes | Signd | Shift | SNeg  | ..... | Usign | UNeg 
gcc-4.7 ...................... | Yes | Signd | Shift | SNeg  | ..... | Usign | UNeg 
gcc-avr ...................... | Yes | Signd | Shift | ..... | ..... | Usign | UNeg 
gcc-msp430 ................... | Yes | Signd | Shift | ..... | ..... | Usign | UNeg 
gcj-4.6 ...................... | Yes | Signd | Shift | SNeg  | ..... | Usign | UNeg 
gcj-4.7 ...................... | Yes | Signd | Shift | SNeg  | ..... | Usign | UNeg 
gcr .......................... | Yes | ..... | ..... | ..... | ..... | Usign | .....
gddrescue .................... | ... | ..... | ..... | ..... | ..... | ..... | .....
gdk-pixbuf ................... | ... | ..... | ..... | ..... | ..... | ..... | .....
geda-gaf ..................... | ... | ..... | ..... | ..... | ..... | ..... | .....
genext2fs .................... | ... | ..... | ..... | ..... | ..... | ..... | .....
gfxboot ...................... | ... | ..... | ..... | ..... | ..... | ..... | .....
giggle ....................... | ... | ..... | ..... | ..... | ..... | ..... | .....
girara ....................... | ... | ..... | ..... | ..... | ..... | ..... | .....
gkermit ...................... | ... | ..... | ..... | ..... | ..... | ..... | .....
gkrellm ...................... | ... | ..... | ..... | ..... | ..... | ..... | .....
gkrelltop .................... | ... | ..... | ..... | ..... | ..... | ..... | .....
gle-graphics ................. | Yes | ..... | Shift | ..... | ..... | Usign | .....
glhack ....................... | ... | ..... | ..... | ..... | ..... | ..... | .....
glib2.0 ...................... | Yes | Signd | Shift | ..... | ..... | Usign | UNeg 
glib-networking .............. | Yes | ..... | ..... | ..... | ..... | Usign | .....
glide ........................ | ... | ..... | ..... | ..... | ..... | ..... | .....
glpk ......................... | ... | ..... | ..... | ..... | ..... | ..... | .....
gmime ........................ | Yes | ..... | ..... | ..... | ..... | Usign | .....
gnome-control-center ......... | ... | ..... | ..... | ..... | ..... | ..... | .....
gnome-keyring ................ | Yes | Signd | Shift | ..... | ..... | Usign | UNeg 
gnonlin ...................... | ... | ..... | ..... | ..... | ..... | ..... | .....
gnote ........................ | Yes | ..... | ..... | ..... | ..... | Usign | .....
